iter	Passed	Remaining
602	239361	78199
603	239774	77807
604	240202	77420
605	240664	77044
606	241059	76646
607	241439	76244
608	241855	75852
609	242215	75444
610	242621	75049
611	243023	74654
612	243410	74254
613	243797	73854
614	244236	73469
615	244649	73077
616	245015	72670
617	245414	72274
618	245789	71870
619	246148	71462
620	246511	71055
621	246908	70658
622	247293	70258
623	247675	69857
624	248045	69452
625	248462	69061
626	248867	68666
627	249237	68262
628	249640	67867
629	250074	67480
630	250488	67088
631	250919	66700
632	251306	66300
633	251716	65906
634	252096	65505
635	252513	65113
636	252912	64716
637	253313	64320
638	253686	63917
639	254130	63532
640	254515	63132
641	254929	62739
642	255319	62340
643	255738	61949
644	256120	61548
645	256497	61146
646	256903	60751
647	257298	60353
648	257712	59960
649	258094	59560
650	258511	59167
651	258884	58765
652	259293	58370
653	259721	57980
654	260115	57582
655	260525	57188
656	260931	56793
657	261304	56391
658	261684	55990
659	262065	55589
660	262495	55199
661	262892	54802
662	263279	54403
663	263711	54013
664	264129	53620
665	264542	53226
666	264946	52830
667	265348	52434
668	265772	52042
669	266187	51648
670	266613	51256
671	267030	50862
672	267429	50465
673	267817	50066
674	268220	49670
675	268589	49267
676	269000	48873
677	269388	48474
678	269778	48075
679	270221	47686
680	270620	47289
681	270979	46885
682	271369	46486
683	271815	46097
684	272199	45697
685	272580	45297
686	272993	44902
687	273407	44508
688	273812	44112
689	274216	43715
690	274600	43316
691	275009	42920
692	275412	42523
693	275832	42130
694	276244	41734
695	276649	41338
696	277037	40939
697	277463	40546
698	277858	40148
699	278244	39749
700	278636	39350
701	279054	38956
702	279433	38556
703	279857	38162
704	280262	37765
705	280673	37370
706	281077	36973
707	281436	36570
708	281945	36187
709	282379	35794
710	282901	35412
711	283376	35024
712	283731	34620
713	284110	34220
714	284489	33820
715	284900	33424
716	285285	33024
717	285680	32626
718	286087	32229
719	286462	31829
720	286860	31431
721	287238	31031
722	287637	30633
723	288020	30234
724	288396	29834
725	288745	29431
726	289128	29032
727	289589	28640
728	289986	28242
729	290383	27844
730	290785	27447
731	291162	27047
732	291522	26646
733	291948	26251
734	292348	25853
735	292776	25458
736	293210	25064
737	293622	24667
738	293996	24267
739	294409	23871
740	294808	23473
741	295188	23074
742	295575	22675
743	295981	22278
744	296389	21881
745	296758	21481
746	297150	21082
747	297586	20687
748	298019	20292
749	298422	19894
750	298798	19495
751	299199	19097
752	299566	18698
753	299958	18299
754	300384	17903
755	300793	17506
756	301176	17107
757	301605	16711
758	302019	16314
759	302468	15919
760	302910	15523
761	303350	15127
762	303721	14728
763	304095	14329
764	304484	13930
765	304912	13533
766	305285	13134
767	305662	12735
768	306020	12336
769	306421	11938
770	306785	11539
771	307172	11140
772	307572	10743
773	307990	10345
774	308386	9947
775	308801	9550
776	309187	9152
777	309619	8755
778	310032	8357
779	310433	7959
780	310840	7562
781	311247	7164
782	311661	6766
783	312052	6368
784	312447	5970
785	312820	5571
786	313230	5174
787	313607	4775
788	314003	4377
789	314400	3979
790	314801	3581
791	315256	3184
792	315665	2786
793	316072	2388
794	316452	1990
795	316846	1592
796	317257	1194
797	317649	796
798	318030	398
799	318444	0
